Title;Category;Rating;Price;Duration;Skills;Number of viewers;Instructors;Language;Site;Course Type;Courses
BI Foundations with SQL, ETL and Data Warehousing Specialization;Information Technology;4,6;0,0;40,0;Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines, ;210;Rav Ahuja ,Sam Prokopchuk ,Ramesh Sannareddy ,Hima Vasudevan ,Yan Luo ,Jeff Grossman ,Sabrina Spillner ,;English;Coursera;Specialization;Unkown
Natural Language Processing Specialization;Data Science;4,6;0,0;32,0;Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding, ;4;Younes Bensouda Mourri ,Łukasz Kaiser ,Eddy Shyu ,;English;Coursera;Specialization;Unkown
Business Foundations Specialization;Business;4,7;0,0;56,0;Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow, ;17;Barbara E. Kahn ,Peter Fader ,Jagmohan Raju ,Brian J Bushee ,Michael Useem ,Peter Cappelli ,Michael R Roberts ,Christian Terwiesch ,;English;Coursera;Specialization;Unkown
Meta React Native Specialization;Computer Science;4,8;0,0;64,0;Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control, ;564;Taught by Meta Staff ,;English;Coursera;Specialization;Unkown
Mathematics for Machine Learning and Data Science Specialization;Computer Science;4,5;0,0;24,0;Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent, ;369;Luis Serrano ,Elena Sanina ,Anshuman Singh ,Magdalena Bouza ,;English;Coursera;Specialization;Unkown
Introduction to Finance and Accounting Specialization;Business;4,4;0,0;40,0;Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, ;1;Jessica Wachter ,Michael R Roberts ,Brian J Bushee ,;English;Coursera;Specialization;Unkown
AI Foundations for Everyone Specialization;Data Science;4,7;0,0;24,0;Data Science, Deep Learning, Artificial Intelligence (AI), Machine Learning, Watson (Computer), Jobs, Application Programming Interfaces (API), watson, ;2;Rav Ahuja ,Antonio Cangiano ,;English;Coursera;Specialization;Unkown
Finance & Quantitative Modeling for Analysts Specialization;Business;4,5;0,0;32,0;Financial Modeling, Corporate Finance, Microsoft Excel, Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Linear Programming (LP), Solver, Discounted Cash Flow, Decision-Making, ;2;Richard Waterman ,Don Huesman ,Richard Lambert ,Christopher D. Ittner ,Michael R Roberts ,;English;Coursera;Specialization;Unkown
Machine Learning Engineering for Production (MLOps) Specialization;Data Science;4,7;0,0;32,0;Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, ;2;Andrew Ng ,Cristian Bartolomé Arámburu ,Robert Crowe ,Laurence Moroney ,;English;Coursera;Specialization;Unkown
Business and Financial Modeling Specialization;Business;4,5;0,0;48,0;Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow, ;7;Richard Waterman ,Don Huesman ,Sergei Savin ,Senthil Veeraraghavan ,Richard Lambert ,Robert W. Holthausen ,;English;Coursera;Specialization;Unkown
