Title;Category;Rating;Price;Duration;Skills;Number of viewers;Instructors;Language;Site;Course Type;Courses
COVID-19 Contact Tracing;Health;4,9;0,0;6,0;Ethics,Active Listening,Public Health,Contact Tracing,Epidemiology,;94;Emily Gurley, PhD, MPH;English;Coursera;Course;Unkown
Camino a la Excelencia en Gestión de Proyectos;Business;4,7;0,0;7,0;Lean Project Management,Value Stream Mapping,Lean Manufacturing,Legal Project Management,;6;Paz Arroyo;Spanish;Coursera;Course;Unkown
Introduction to Hardware and Operating Systems;Information Technology;4,8;0,0;17,0;Technical Support,IT Service Management (ITSM),Troubleshooting,IT Career,;563;Skills Network;English;Coursera;Course;Unkown
Introduction to Embedded Systems Software and Development Environments;Physical Science and Engineering;4,5;0,0;9,0;Makefile,C Programming,Embedded C,;569;Alex Fosdick;English;Coursera;Course;Unkown
Introduction to Financial Engineering and Risk Management;Business;4,5;0,0;17,0;Derivatives,Swaps and options,Fixed Income,Binomial Distribution,black scholes model,;114;Garud Iyengar;English;Coursera;Course;Unkown
English for Business and Entrepreneurship;Language Learning;4,8;0,0;31,0;Business Plan,Market Research,English Language,Entrepreneurship,;4;Amy Nichols;English;Coursera;Course;Unkown
Natural Language Processing with Sequence Models;Data Science;4,5;0,0;24,0;Word Embedding,Sentiment with Neural Nets,Siamese Networks,Natural Language Generation,Named-Entity Recognition,;1;Younes Bensouda Mourri;English;Coursera;Course;Unkown
Design Thinking for the Greater Good: Innovation in the Social Sector;Social Sciences;4,7;0,0;8,0;Prototyping,Problem Solving,User-Centered Design,Design Thinking,Social Issues,;390;Jeanne M. Liedtka;English;Coursera;Course;Unkown
What is Compliance?;Business;4,8;0,0;10,0;Risk Management,Brand Management,Strategic Planning,Compliance,;1;Andrew Kandel;English;Coursera;Course;Unkown
Hands-on Introduction to Linux Commands and Shell Scripting;Computer Science;4,6;0,0;12,0;Shell Script,Bash (Unix Shell),Linux,;673;Rav Ahuja;English;Coursera;Course;Unkown
Getting Started with AI using IBM Watson;Data Science;4,5;0,0;9,0;Deep Learning,Application Programming Interfaces (API),Artificial Intelligence (AI),Machine Learning,watson,;2;Rav Ahuja;English;Coursera;Course;Unkown
Microsoft Power Platform Fundamentals;Information Technology;4,3;0,0;25,0;Data Analysis,Business Process,Data Visualization (DataViz),power bi,Chatbot,;53;Microsoft;English;Coursera;Course;Unkown
Machine Learning Introduction for Everyone;Data Science;4,5;0,0;7,0;Deep Learning,Artificial Intelligence (AI),Machine Learning,Reinforcement Learning,Machine Learning Model Lifecycle,;112;Aije Egwaikhide;English;Coursera;Course;Unkown
Financing and Investing in Infrastructure;Business;4,8;0,0;11,0;Capital Budgeting,Risk Analysis,Project,Finance,;1;Stefano Gatti;English;Coursera;Course;Unkown
Divide and Conquer, Sorting and Searching, and Randomized Algorithms;Computer Science;4,8;0,0;16,0;Algorithms,Randomized Algorithm,Sorting Algorithm,Divide And Conquer Algorithms,;5;Tim Roughgarden;English;Coursera;Course;Unkown
Modern Art & Ideas;Arts and Humanities;4,8;0,0;13,0;Creativity,Art,History,Art History,Art Direction,;6;Lisa Mazzola;English;Coursera;Course;Unkown
Fundamentals of Technology Sales;Business;4,8;0,0;4,0;Sales Development,Sales Management,Sales Strategy,Sales,Sales Presentation,;45;Dr. James V. Green;English;Coursera;Course;Unkown
Creative Writing: The Craft of Plot;Arts and Humanities;4,7;0,0;5,0;Short Story Writing,Fiction Writing,Creativity,Copy Editing,;4;Brando Skyhorse;English;Coursera;Course;Unkown
Miracles of Human Language: An Introduction to Linguistics;Language Learning;4,7;0,0;23,0;Essay Writing,History,English Language,Chinese Language,;2;Marc van Oostendorp;English;Coursera;Course;Unkown
Liabilities and Equity in Accounting;Business;4,2;0,0;13,0;Accounts Payable and Payroll,Owner’s Equity and Owner’s Draw,Accounting,Long-Term Liabilities and Note Payable,Accounting for Liabilities and Equity,;384;Intuit Academy Team;English;Coursera;Course;Unkown
Biology Meets Programming: Bioinformatics for Beginners;Health;4,2;0,0;18,0;Bioinformatics,Bioinformatics Algorithms,Biology,Python Programming,;1;Pavel  Pevzner;English;Coursera;Course;Unkown
The Business of Product Management I;Business;4,5;0,0;15,0;Go-to-market Strategy,Product/Market Fit,Tech Leadership,B2B Sales,Product Management,;643;Nancy Wang;English;Coursera;Course;Unkown
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep;Physical Science and Engineering;4,7;0,0;18,0;Autocad,Design,Autodesk,Engineering,Computer-Aided Design (CAD),;2;Autodesk;English;Coursera;Course;Unkown
Solar Energy Basics;Physical Science and Engineering;4,8;0,0;15,0;Renewable Energy,Power & energy calculations,Electronic Circuits,Solar Energy,Energy Audits,;2;Neal Abrams;English;Coursera;Course;Unkown
Learning to Teach Online;Social Sciences;4,7;0,0;17,0;Teaching,Online Learning,Evaluation,Planning,;2;Associate Professor Simon McIntyre;English;Coursera;Course;Unkown
Introduction to Deep Learning & Neural Networks with Keras;Data Science;4,7;0,0;8,0;Deep Learning,Artificial Neural Network,Artificial Intelligence (AI),Machine Learning,keras,;1;Alex Aklson;English;Coursera;Course;Unkown
Network Security & Database Vulnerabilities ;Information Technology;4,7;0,0;14,0;database vulnerabilities,Network Security,Sql Injection,Cybersecurity,networking basics,;2;IBM Security Learning Services;English;Coursera;Course;Unkown
Digital Transformation;Business;4,8;0,0;14,0;Technology Disruption,Digital Trends,Competitive Lifecycle,Digital Strategy,Strategic Management,;5;Michael Lenox;English;Coursera;Course;Unkown
Project Management: Foundations and Initiation;Business;4,7;0,0;23,0;Resource Management,Engineering management,Business Communication,Team Management,Project Management,;150;Christy Bozic, PhD, PMP;English;Coursera;Course;Unkown
Responsive Web Design in Adobe XD;Computer Science;4,8;0,0;42,0;Adobe XD,User Experience (UX),Usability Testing,Prototype,User Experience Design (UXD),;2;Google Career Certificates;English;Coursera;Course;Unkown
Marketing Digital;Business;4,8;0,0;16,0;Digital Marketing,Marketing Analytics,Google Adwords,Google Analytics,Marketing Performance Measurement And Management,;2;Artur Vilas Boas;Portuguese (Brazilian);Coursera;Course;Unkown
Using Python to Interact with the Operating System;Information Technology;4,7;0,0;25,0;Setting up your Development Environment,Regular Expression (REGEX),Testing in Python,Automating System Administration Tasks with Python,Bash Scripting,;5;Google Career Certificates;English;Coursera;Course;Unkown
The Arts and Science of Relationships: Understanding Human Needs;Personal Development;4,5;0,0;31,0;Psychology,Assertiveness,Communication,Building Relationships,;1;A. Ka Tat Tsang;English;Coursera;Course;Unkown
Make the Sale: Build, Launch, and Manage E-commerce Stores;Business;4,8;0,0;23,0;Fulfillment and delivery,Website Structure,E-commerce platforms,E-Commerce Strategy,Seasonality,;529;Google Career Certificates;English;Coursera;Course;Unkown
Diversity and Inclusion for HR Professionals;Business;4,7;0,0;16,0;inclusion,diversity,belonging,Human Resources (HR),Leadership,;138;Diane Spiegel;English;Coursera;Course;Unkown
Instructional Methods in Health Professions Education;Health;4,7;0,0;20,0;Teaching,Simulation,Instructional Design,Teaching Method,;414;Caren Stalburg, MD, MA;English;Coursera;Course;Unkown
Schizophrenia;Health;4,8;0,0;5,0;Psychology,Psychiatry,Psychiatric Disorders,Psychotherapy,;1;Matt Kurtz;English;Coursera;Course;Unkown
Inclusive Leadership: The Power of Workplace Diversity;Social Sciences;4,9;0,0;21,0;Emotional Intelligence,self-awareness,inclusive leadership,Communication,Diversity (Business),;1;Brenda J. Allen;English;Coursera;Course;Unkown
Managing the Company of the Future;Business;4,8;0,0;12,0;Management Theory,Strategic Management,Leadership,Management,;3;Julian Birkinshaw;English;Coursera;Course;Unkown
Foundations of Business Strategy;Business;4,8;0,0;9,0;Capabilities Analysis,Business Strategy,Competitive Position,Strategic Analysis,Industry Structure,;2;Michael Lenox;English;Coursera;Course;Unkown
Introduction to Google SEO;Business;4,6;0,0;13,0;Search Algorithm,Search Engine Optimization (SEO),Mathematical Optimization,Semantics,;9;Rebekah May;English;Coursera;Course;Unkown
Implant Dentistry;Health;4,8;0,0;27,0;Biology,Surgery,Radiology,Dentistry,;1;Nikos Mattheos;English;Coursera;Course;Unkown
Healing with the Arts;Personal Development;4,6;0,0;12,0;Music,Art,Meditation,Visual Arts,;832;Mary Rockwood Lane, PhD, RN, FAAN;English;Coursera;Course;Unkown
Introduction to Data Science in Python;Data Science;4,5;0,0;34,0;Python Programming,Numpy,Pandas,Data Cleansing,;26;Christopher Brooks;English;Coursera;Course;Unkown
People Analytics;Business;4,6;0,0;8,0;Talent Management,Analytics,Performance Management,Collaboration,;5;Cade Massey;English;Coursera;Course;Unkown
Six Sigma Principles ;Business;4,6;0,0;13,0;Lean Six Sigma,Process Improvement,Six Sigma,Lean Methods,;7;Bill Bailey, PhD;English;Coursera;Course;Unkown
Excel/VBA for Creative Problem Solving, Part 1;Computer Science;4,8;0,0;20,0;Microsoft Excel Vba,Computer Programming,Problem Solving,Debugging,;3;Charlie Nuttelman;English;Coursera;Course;Unkown
Fundamentals of Visualization with Tableau;Data Science;4,5;0,0;10,0;Tableau Software,Data Virtualization,Data Visualization (DataViz),Visualization (Computer Graphics),;6;Desiree' Abbott;English;Coursera;Course;Unkown
Operational Research for Humanitarians;Health;4,8;0,0;16,0;Ethics,Humanitarian,Qualitative and Quantitative Research,community engagement,Research Methods,;58;Karl Blanchet;English;Coursera;Course;Unkown
Introduction to Probability and Data with R;Data Science;4,7;0,0;14,0;Statistics,R Programming,Rstudio,Exploratory Data Analysis,;5;Mine Çetinkaya-Rundel;English;Coursera;Course;Unkown
Business Model Innovation;Business;4,7;0,0;14,0;Strategic Management,Business Model,Business Modeling,Business Strategy,;485;Laurence Lehmann-Ortega;English;Coursera;Course;Unkown
Data-Driven Decisions with Power BI;Business;4,2;0,0;14,0;Data Modeling,Data-Drive Decision Making,Group Decision-Making,Data Analysis,Report Building,;131;Keith Gibson;English;Coursera;Course;Unkown
Greek and Roman Mythology;Arts and Humanities;4,8;0,0;24,0;Art History,Greek Mythology,History,Mythology,;2;Peter Struck;English;Coursera;Course;Unkown
Getting Started with Git and GitHub;Computer Science;4,6;0,0;8,0;Distributed Version Control (DRCS),open source,Version Control Systems,Github,Git (Software),;364;Upkar Lidder;English;Coursera;Course;Unkown
Agile Meets Design Thinking;Computer Science;4,7;0,0;9,0;agile user stories,User Experience Design (UXD),Agile Software Development,Product Management,Software Development,;3;Alex Cowan;English;Coursera;Course;Unkown
Google SEO Fundamentals;Business;4,8;0,0;29,0;Social Media,Keyword Research,Marketing,Mathematical Optimization,;3;Rebekah May;English;Coursera;Course;Unkown
Introduction to Cyber Attacks;Computer Science;4,7;0,0;18,0;Cybersecurity,Information Security (INFOSEC),Denial-Of-Service Attack (DOS),Risk Assessment,;2;Dr. Edward G. Amoroso;English;Coursera;Course;Unkown
Introduction to Agile Development and Scrum;Computer Science;4,9;0,0;9,0;Agile Software Development,Scrum Methodology,Zenhub,Kanban,Sprint Planning,;1;John Rofrano;English;Coursera;Course;Unkown
Excel Fundamentals for Data Analysis;Business;4,8;0,0;15,0;Data Analysis,Microsoft Excel,Data Cleansing,;3;Nicky Bull;English;Coursera;Course;Unkown
Creative Thinking: Techniques and Tools for Success;Personal Development;4,7;0,0;19,0;Creative Thinking,Problem Solving,Creativity,Brainstorming,;3;Peter Childs;English;Coursera;Course;Unkown
Mastering Final Cut Pro;Business;4,5;0,0;40,0;Experience with video production is helpful,video terminology and while not required,Basic understanding of macOS helpful,;187;Jason Cox with Nick Harauz;English;Coursera;Course;Unkown
Introduction to Public Speaking;Business;4,8;0,0;14,0;Confidence,Presentation,Speech,Public Speaking,;1;Dr. Matt McGarrity;English;Coursera;Course;Unkown
Children's Human Rights - An Interdisciplinary Introduction;Social Sciences;4,7;0,0;10,0;Justice,Child Psychology,International Law,Humanitarian,;1;Roberta Ruggiero;English;Coursera;Course;Unkown
Data-driven Decision Making;Data Science;4,6;0,0;9,0;Data-Informed Decision-Making,Big Data,Data Analysis,Data Visualization (DataViz),;5;Alex Mannella;English;Coursera;Course;Unkown
Cost and Economics in Pricing Strategy;Business;4,8;0,0;12,0;Cost-Based Pricing,Channel and Direct-to-Consumer Pricing,Pricing Strategies,Price Discrimination,Price Elasticity Of Demand,;641;Jean Manuel Izaret;English;Coursera;Course;Unkown
Aspectos básicos del diseño de la experiencia del usuario;Computer Science;4,9;0,0;20,0;Experiencia del usuario (UX),Esquema,Diseño de la experiencia del usuario (UXD),Investigación en UX,Prototipo,;1;Google Career Certificates;Spanish;Coursera;Course;Unkown
Nutrición y obesidad: control de sobrepeso;Health;4,8;0,0;10,0;Nutrition,Null Character,Physical Examination,Diets,;5;Juan Luis Carrillo Toscano;Spanish;Coursera;Course;Unkown
Positive Psychology ;Health;4,7;0,0;11,0;Gratitude,Kindness,Meditation,Positive Psychology,;5;Dr. Barbara L. Fredrickson;English;Coursera;Course;Unkown
Security Principles;Information Technology;4,7;0,0;5,0;Risk,Information Assurance,security,governance,;71;(ISC)² Education & Training;English;Coursera;Course;Unkown
Understanding Plants - Part I: What a Plant Knows;Health;4,8;0,0;11,0;Plant Biology,Genetics,Cell Biology,Plant,;1;Professor Daniel Chamovitz, Ph.D.;English;Coursera;Course;Unkown
Science Literacy ;Health;4,4;0,0;22,0;Media Literacy,Experimental Design,Communication,Science Literacy,Science,;215;Dr. Claire Scavuzzo;English;Coursera;Course;Unkown
Machine Learning Modeling Pipelines in Production;Data Science;4,4;0,0;23,0;Explainable AI,Fairness Indicators,automl,Model Performance Analysis,Precomputing Predictions,;325;Robert Crowe;English;Coursera;Course;Unkown
Design a User Experience for Social Good & Prepare for Jobs;Computer Science;4,8;0,0;62,0;User Experience (UX),Usability Testing,Prototype,User Experience Design (UXD),UX design jobs,;2;Google Career Certificates;English;Coursera;Course;Unkown
Social Impact Strategy: Tools for Entrepreneurs and Innovators;Business;4,8;0,0;7,0;Market Analysis,Business Model,Business Modeling,Social Entrepreneurship,;1;Peter  Frumkin;English;Coursera;Course;Unkown
The Art of Music Production;Arts and Humanities;4,8;0,0;14,0;Audio Production,Music,Music production,Songwriting,Music recording,;1;Stephen Webber;English;Coursera;Course;Unkown
Introduction to Risk Management;Business;4,7;0,0;16,0;Risk Management,Financial Risk,Leadership and Financial Risk Estimation and Management,Regulations,;234;Joseph Iraci;English;Coursera;Course;Unkown
Initiating and Planning Projects;Business;4,7;0,0;7,0;Project Management,Project,Planning,Project Planning,;21;Margaret  Meloni,  MBA, PMP;English;Coursera;Course;Unkown
Custom Models, Layers, and Loss Functions with TensorFlow;Data Science;4,9;0,0;31,0;Functional API,Custom Layers,Custom and Exotic Models with Functional API,Custom Loss Functions,;865;Laurence Moroney;English;Coursera;Course;Unkown
Algorithmic Toolbox;Computer Science;4,6;0,0;40,0;Dynamic Programming,Debugging,Software Testing,Algorithms,Computer Programming,;12;Neil Rhodes;English;Coursera;Course;Unkown
Introduction to Computer Vision and Image Processing;Data Science;4,4;0,0;21,0;Deep Learning,Opencv,Artificial Intelligence (AI),Image Processing,Computer Vision,;915;Aije Egwaikhide;English;Coursera;Course;Unkown
Preparing to Manage Human Resources;Business;4,8;0,0;17,0;Human Resources (HR),Resource Management,Hr Strategy,;9;John W. Budd;English;Coursera;Course;Unkown
Deploying Machine Learning Models in Production;Data Science;4,6;0,0;31,0;TensorFlow Serving,Model Monitoring,Model Registries,Machine Learning Operations (MLOps),Generate Data Protection Regulation (GDPR),;248;Laurence Moroney;English;Coursera;Course;Unkown
Introduction to Genetics and Evolution;Health;4,8;0,0;25,0;Biology,Genetics,Evolution,Genomics,;1;Dr. Mohamed Noor;English;Coursera;Course;Unkown
Rebuilding Our Relationship with Food;Health;4,9;0,0;8,0;Devise a customized plan for optimizing your eating patterns.,Rebuild your relationship with food by learning to genuinely love the foods that will support your health in the long term.,Practice self-compassion with regard to your eating behaviors and food choices.,Observe your own unique eating patterns and identify areas of improvement.,Practice food mindfulness or mindful eating on a day-to-day basis.,;209;Maya Adam, MD;English;Coursera;Course;Unkown
Introduction to Web Development;Computer Science;4,7;0,0;21,0;Css Code,HTML,JavaScript,Cascading Style Sheets (CSS),;3;Daniel Randall;English;Coursera;Course;Unkown
Cyber Threat Intelligence;Information Technology;4,7;0,0;26,0;Application Security,threat intelligence,network defensive tactics,security analyst,Cybersecurity,;1;IBM Security Learning Services;English;Coursera;Course;Unkown
Google Cloud Fundamentals: Core Infrastructure;Information Technology;4,7;0,0;8,0;Google Compute Engine,Google App Engine (GAE),Google Cloud Platform,Cloud Computing,;46;Google Cloud Training;English;Coursera;Course;Unkown
Regression Analysis: Simplify Complex Data Relationships;Data Science;5,0;0,0;28,0;Predictive Modelling,Statistical Analysis,Python Programming,Effective Communication,regression modeling,;22;Google Career Certificates;English;Coursera;Course;Unkown
Fundamentals of GIS;Physical Science and Engineering;4,8;0,0;30,0;Spatial Analysis,Data Analysis,Data Visualization (DataViz),Software,;5;Nick Santos;English;Coursera;Course;Unkown
The Horse Course: Introduction to Basic Care and Management;Health;4,9;0,0;18,0;Disease Management,Nutrition,Animal Behavior,Vital Signs,;883;Chris J. Mortensen, Ph.D.;English;Coursera;Course;Unkown
Foundations of Health Equity Research;Health;4,8;0,0;14,0;Health Research,health equity research,Research Design,Research Methods,Epidemiology,;153;Lisa A. Cooper, M.D.;English;Coursera;Course;Unkown
CompTIA Exam Prep;Information Technology;3,3;0,0;18,0;Helpdesk,Computer Troubleshooting,Technical Support,Software,hardware,;81;Marty Wrin;English;Coursera;Course;Unkown
In the Studio: Postwar Abstract Painting;Arts and Humanities;4,9;0,0;26,0;Art History,Art,History,Color Theory,;1;Alex Roediger;English;Coursera;Course;Unkown
Bases de la planification et de la gestion de projet;Business;4,7;0,0;8,0;Project Management,Earned Value Management (EVMT),Budget,U.S. Securities And Exchange Commission,;93;Yael Grushka-Cockayne;French;Coursera;Course;Unkown
Satisfaction Guaranteed: Develop Customer Loyalty Online;Business;4,8;0,0;26,0;Job preparedness,Customer Relationship Management (CRM),Portfolio preparation,E-commerce store optimization,Building customer loyalty,;1;Google Career Certificates;English;Coursera;Course;Unkown
Computational Neuroscience;Data Science;4,6;0,0;26,0;Computational Neuroscience,Artificial Neural Network,Reinforcement Learning,Biological Neuron Model,;1;Rajesh P. N. Rao;English;Coursera;Course;Unkown
Using Databases with Python;Computer Science;4,8;0,0;14,0;Python Programming,Database (DBMS),Sqlite,SQL,;20;Charles Russell Severance;English;Coursera;Course;Unkown
Astronomy: Exploring Time and Space;Physical Science and Engineering;4,8;0,0;43,0;Solar Systems,Chemistry,Theory Of Relativity,Astrobiology,;3;Chris Impey;English;Coursera;Course;Unkown
Financial Planning for Young Adults;Business;4,6;0,0;19,0;Risk Management,Budget,Saving,Investment,;1;Nicholas Paulson;English;Coursera;Course;Unkown
Process Mining: Data science in Action;Data Science;4,7;0,0;22,0;Petri Net,Process Modeling,Process Mining,Data Mining,;1;Wil van der Aalst;English;Coursera;Course;Unkown
Bugs 101: Insect-Human Interactions;Health;4,9;0,0;49,0;Biology,Entomology,Science,Ecology,;1;Dr. Maya Evenden;English;Coursera;Course;Unkown
Applied Data Science Capstone;Data Science;4,7;0,0;17,0;Methodology,Github,Jupyter Notebook,Data Science Methodology,K-Means Clustering,;6;Yan Luo;English;Coursera;Course;Unkown
Introduction to Environmental Law and Policy;Social Sciences;4,8;0,0;14,0;Environmental Law,Common Law,Law,Environmental Protection,;2;Donald Hornstein;English;Coursera;Course;Unkown
Writing and Editing: Word Choice and Word Order;Personal Development;4,7;0,0;20,0;Persuasion,Creativity,Writing,Time management,Editing,;1;Patrick Barry;English;Coursera;Course;Unkown
Code Yourself! An Introduction to Programming;Computer Science;4,7;0,0;11,0;Computer Programming,Algorithms,Programming Language,Scratch (Programming Language),;3;Dr Areti Manataki;English;Coursera;Course;Unkown
Introduction to Machine Learning;Data Science;4,7;0,0;21,0;Natural Language Processing,Convolutional Neural Network,Machine Learning,Python Programming,pytorch,;3;Lawrence Carin;English;Coursera;Course;Unkown
The Cycle: Management of Successful Arts and Cultural Organizations;Arts and Humanities;4,8;0,0;12,0;Fundraising,Management,Marketing,Planning,;616;Michael M. Kaiser;English;Coursera;Course;Unkown
Getting Started with SAS Programming;Data Science;4,8;0,0;24,0;SAS Studio,Import Data,Reports,Prepare Data,SAS Programs,;2;Stacey Syphus;English;Coursera;Course;Unkown
Earth Economics;Social Sciences;4,7;0,0;20,0;Earth Economics,Policy Development,Data Analysis,Policy Analysis,You will develop a good understanding about why we need Earth Economics in addition to traditional macroeconomics (nation-level) and microeconomics (individual and firm level,;58;Peter A.G. van Bergeijk;English;Coursera;Course;Unkown
Product Management Essentials;Business;4,6;0,0;6,0;Customer Development,Product Development,Marketing,Product Management,Leadership,;190;Dr. James V. Green;English;Coursera;Course;Unkown
Algorithms for Searching, Sorting, and Indexing;Computer Science;4,7;0,0;34,0;Analysis of Algorithms,Hashtables,Algorithm Design,Python Programming,Data Structure Design,;230;Sriram Sankaranarayanan;English;Coursera;Course;Unkown
Econometrics: Methods and Applications;Data Science;4,6;0,0;66,0;Linear Regression,Time Series,Econometrics,Regression Analysis,;1;Francine Gresnigt;English;Coursera;Course;Unkown
Operations Analytics;Business;4,7;0,0;10,0;Simulation,Mathematical Optimization,Solver,Decision Tree,;4;Senthil Veeraraghavan;English;Coursera;Course;Unkown
Containerized Applications on AWS;Information Technology;4,7;0,0;12,0;App Runner,Kubernetes,Containers,Amazon Elastic Container Registry,Microservices,;92;Morgan Willis;English;Coursera;Course;Unkown
Data Science Math Skills;Math and Logic;4,5;0,0;13,0;Bayes' Theorem,Bayesian Probability,Probability,Probability Theory,;11;Daniel Egger;English;Coursera;Course;Unkown
Global Financing Solutions  (by EDHEC and Société Générale);Business;4,7;0,0;14,0;Syndication,project finance,Capital Market,Acquisition & Buy-Outs,Sustainability,;158;Laurent DEVILLE;English;Coursera;Course;Unkown
React Basics;Computer Science;4,8;0,0;26,0;Web Application,Front-End Web Development,React (Web Framework),Application development,;649;Taught by Meta Staff;English;Coursera;Course;Unkown
Probabilistic Graphical Models 1: Representation;Data Science;4,6;0,0;66,0;Bayesian Network,Graphical Model,Markov Random Field,;1;Daphne Koller;English;Coursera;Course;Unkown
Introduction to Enterprise Computing;Information Technology;4,7;0,0;9,0;Mainframe,z/OS,Enterprise Software,security,IBM Z,;810;Jeff Bisti;English;Coursera;Course;Unkown
ChatGPT for Beginners: Using AI For Market Research;Business;4,7;0,0;17,3;Business Analytics,Market Analysis,Business Strategy,Market Research,ChatGPT,;18;Jan Demiralp;English;Coursera;Project;Unkown
Getting Started with Power BI Desktop;Business;4,7;0,0;2,0;Business Analytics,Data Analysis,Data Visualization (DataViz),power bi,Business Intelligence,;3;Amit Yadav;English;Coursera;Project;Unkown
Coding for Beginners: An Easy Introduction;Computer Science;4,7;0,0;2,0;Basic Coding,Basic programming concepts,Programming Language,Python Programming,Computer Programming,;45;Skills Network;English;Coursera;Project;Unkown
ChatGPT for Beginners: SciFi Writing with Dall-e;Computer Science;4,7;0,0;2,0;Critical Thinking,Creative Writing,AI communication,;45;Danilo Oliveira Vaz;English;Coursera;Project;Unkown
Curso Completo de Power BI Desktop;Data Science;4,4;0,0;22,1;Unknown;546;Leire Ahedo;Spanish;Coursera;Project;Unkown
Excel for Beginners: Pivot Tables;Business;4,6;0,0;2,0;Spreadsheet,Microsoft Excel,;30;Edward Falzon ;English;Coursera;Project;Unkown
Cloud SQL for MySQL: Qwik Start;Data Science;4,7;0,0;22,1;MySQL,cloud sql,SQL Operations,;45;Unkown;English;Coursera;Project;Unkown
Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service;Information Technology;4,7;0,0;5,0;Database (DBMS),Google Cloud Platform,MySQL,;45;Unkown;English;Coursera;Project;Unkown
Cloud Spanner - Defining Schemas and Understanding Query Plans;Information Technology;4,7;0,0;5,0;Database (DBMS),Data Management,Google Cloud Platform,;45;Unkown;English;Coursera;Project;Unkown
Configure Replication and Enable Point-in-Time-Recovery for Cloud SQL for PostgreSQL;Information Technology;4,7;0,0;14,4;Postgresql,Google Cloud Platform,cloud sql,;45;Unkown;English;Coursera;Project;Unkown
Migrate to Cloud SQL for PostgreSQL using Database Migration Service;Information Technology;4,7;0,0;1,0;Database (DBMS),Data Management,Google Cloud Platform,;45;Unkown;English;Coursera;Project;Unkown
Connect an App to a Cloud SQL for PostgreSQL Instance;Data Science;4,7;0,0;1,0;Postgresql,Kubernetes,cloud sql,;45;Unkown;English;Coursera;Project;Unkown
Cloud Spanner - Loading Data and Performing Backups;Information Technology;4,7;0,0;5,0;Database (DBMS),Dataflow,Data Management,Google Cloud Platform,;45;Unkown;English;Coursera;Project;Unkown
Deploy a Modern Web App connected to a Cloud Spanner Instance;Information Technology;4,7;0,0;5,0;Node.Js,Database (DBMS),Google Cloud Platform,;45;Unkown;English;Coursera;Project;Unkown
A Tour of Google Cloud Hands-on Labs;Information Technology;4,7;0,0;14,4;Cloud Platforms,Cloud Storage,Google Cloud Platform,;113;Unkown;English;Coursera;Project;Unkown
Migrating On-premises MySQL Using a Continuous Database Migration Service Job;Information Technology;4,7;0,0;5,0;Database (DBMS),Google Cloud Platform,MySQL,;45;Unkown;English;Coursera;Project;Unkown
Securing a Cloud SQL for PostgreSQL Instance;Information Technology;4,7;0,0;14,4;Cloud Computing Security,Database (DBMS),Google Cloud Platform,;45;Unkown;English;Coursera;Project;Unkown
Visual Perception for Self-Driving Cars;Computer Science;4,7;0,0;31,0;Unknown;533;Steven Waslander;English;Coursera;Course;Unkown
Introduction to Data Analytics for Business;Data Science;4,7;0,0;11,0;Data Model,Data Quality,Data Analysis,SQL,;3;David Torgerson;English;Coursera;Course;Unkown
Writing Winning Resumes and Cover Letters;Business;4,6;0,0;12,0;Unknown;290;Charles Duquette;English;Coursera;Course;Unkown
Fundamentals of Investing;Personal Development;4,5;0,0;7,0;Investment Fees,Diversification,Active vs. Passive Investing,Risk Aversion,Investment,;44;Lauren Anastasio;English;Coursera;Course;Unkown
Verb Tenses and Passives;Language Learning;4,8;0,0;24,0;English Grammar,Grammar,Perfect Tenses,English Language,;1;Tamy Chapman;English;Coursera;Course;Unkown
Spanish Vocabulary: Careers and Social Events;Language Learning;4,7;0,0;19,0;Unknown;196;Dr. Robert Blake;English;Coursera;Course;Unkown
Introduction to CAD, CAM, and Practical CNC Machining;Physical Science and Engineering;4,8;0,0;19,0;Manufacturing Process Management,Computer-Aided Design (CAD),Computer-Aided Manufacturing,Autodesk Fusion 360,Mechanical Engineering,;788;Autodesk;English;Coursera;Course;Unkown
AI For Medical Treatment;Data Science;4,7;0,0;22,0;treatment effect estimation,machine learning interpretation,Random Forest,natural language entity extraction,question-answering,;488;Pranav Rajpurkar;English;Coursera;Course;Unkown
Introduction to Corporate Finance;Business;4,6;0,0;7,0;Discounted Cash Flow,Decision-Making,Corporate Finance,Cash Flow Analysis,;5;Michael R Roberts;English;Coursera;Course;Unkown
Algorithmic Toolbox;Computer Science;4,6;0,0;40,0;Dynamic Programming,Debugging,Software Testing,Algorithms,Computer Programming,;12;Neil Rhodes;English;Coursera;Course;Unkown
Fundamentals of Machine Learning for Healthcare;Data Science;4,8;0,0;14,0;Unknown;280;Matthew Lungren;English;Coursera;Course;Unkown
Regression Models;Data Science;4,4;0,0;53,0;Model Selection,Generalized Linear Model,Linear Regression,Regression Analysis,;3;Brian Caffo, PhD;English;Coursera;Course;Unkown
EMT Foundations;Health;4,8;0,0;14,0;Unknown;961;Angela Wright, MD;English;Coursera;Course;Unkown
Culminating Project in Health Informatics;Health;4,8;0,0;14,0;Unknown;43;Ashwini S. Davison, M.D.;English;Coursera;Course;Unkown
